"brazilianRegion","codigo_referencia","ano","ano_inicio","ano_fim","tipo","id_idioma","linque","textReference","Reference"
"Centro-Oeste","Centro-Oeste_1",2009,,,"AC","PT",,"CHACON ET AL. (2009)",
"Centro-Oeste","Centro-Oeste_2",2011,,,"LV","PT",,"MUNHOZ ET AL. (2011)",
"Centro-Oeste","Centro-Oeste_3",1994,,,"LV","PT",,"POTT AND POTT (1994)",
"Centro-Oeste","Centro-Oeste_4",1998,,,"LV","PG",,"DUBS (1998)",
"Centro-Oeste","Centro-Oeste_5",1999,,,"AC","PT",,"POTT AND CERVI (1999)",
"Centro-Oeste","Centro-Oeste_6",2009,,,"AC","PT",,"BOENO ET AL. (2009)",
"Centro-Oeste","Centro-Oeste_7",2007,,,"CL","PT",,"MENDONÇA AND BOVE (2007)",
"Centro-Oeste","Centro-Oeste_8",2001,,,"CL","PT",,"CAVALCANTI ET AL. (2001)",
"Centro-Oeste","Centro-Oeste_9",1997,,,"CL","PT",,"SOUZA AND SOUZA (1997)",
"Centro-Oeste","Centro-Oeste_10",1989,,,"CL","PT",,"WANDERLEY (1989)",
"Centro-Oeste","Centro-Oeste_11",1997,,,"CL","ES",,"ZARDINI AND RAVEN (1997)",
"Centro-Oeste","Centro-Oeste_12",2007,,,"CL","PT",,"GUIMARÂES ET AL. (2007)",
"Centro-Oeste","Centro-Oeste_13",2007,,,"CL","PT",,"ASSIS (2007)",
"Centro-Oeste","Centro-Oeste_14",2002,,,"CL","PT",,"MELO (2002)",
"Centro-Oeste","Centro-Oeste_15",1997,,,"AC","PT","http://www.scielo.br/pdf/abb/v11n2/v11n2a10.pdf","POTT AND POTT (1997)",
"Centro-Oeste","Centro-Oeste_16",2011,,,"AC","PT","http://rodriguesia-seer.jbrj.gov.br/index.php/rodriguesia/article/view/314/128","KUFNER ET AL. (2011)",
"Centro-Oeste","Centro-Oeste_17",2000,,,"AC","PT",,"POTT AND POTT (2000a)",
"Centro-Oeste","Centro-Oeste_18",2008,,,"AC","PT","http://www.scielo.br/pdf/abb/v22n2/a23v22n2.pdf","PIVARI ET AL. (2008)",
"Centro-Oeste","Centro-Oeste_19",2015,,,"TS","PT e EM",,"MOREIRA (2015)",
"Centro-Oeste","Centro-Oeste_20",2013,,,"AC","EM","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000300015","CUNHA ET AL. (2013)",
"Centro-Oeste","Centro-Oeste_21",1998,,,"AC","PT","http://www.scielo.br/scielo.php?pid=S0102-33061998000200007&script=sci_abstract&tlng=pt","POTT (1998)",
"Centro-Oeste","Centro-Oeste_22",2011,,,"AC","PT","https://www.revistas.ufg.br/RBN/article/view/12004/12855","LEHN ET AL.(2011)",
"Centro-Oeste","Centro-Oeste_23",1999,,,"CL","PT","Livro: Nos Jardins Submersos da Bodoquena - Impresso","POTT (1999)",
"Centro-Oeste","Centro-Oeste_24",2010,,,"TS","PT","https://ciamb.prpg.ufg.br/up/104/o/Isa_L%C3%BAcia_Tese.pdf","RESENDE (2010)",
"Centro-Oeste","Centro-Oeste_25",2000,,,"LV","PT",,"POTT AND POTT (2000b)",
"Nordeste","Nordeste_1",2001,,,"AC","PT","http://www.scielo.br/pdf/abb/v22n2/a23v22n2.pdf","Nordeste_1","Nordeste_1"
"Nordeste","Nordeste_2",2003,,,"AC","PT",,"Nordeste_2","Nordeste_2"
"Nordeste","Nordeste_3",2003,,,"TS","PT","https://repositorio.ufscar.br/bitstream/handle/ufscar/1650/TeseFP.pdf?sequence=1","Nordeste_3","Nordeste_3"
"Nordeste","Nordeste_4",2003,,,"AC","PT","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062003000400015","Nordeste_4","Nordeste_4"
"Nordeste","Nordeste_5",2006,,,"AC","PT","http://www2.uefs.br/revistabiologia/pg6_n1.html","Nordeste_5","Nordeste_5"
"Nordeste","Nordeste_6",2006,,,"AC","IN","http://www.scielo.br/pdf/bjb/v66n2b/30146.pdf","Nordeste_6","Nordeste_6"
"Nordeste","Nordeste_7",2009,,,"AC","PT","http://www.revista.ufpe.br/revistageografia/index.php/revista/article/viewArticle/217","Nordeste_7","Nordeste_7"
"Nordeste","Nordeste_8",2009,,,"AC","PT","http://www.revista.ufpe.br/revistageografia/index.php/revista/article/viewArticle/219","Nordeste_8","Nordeste_8"
"Nordeste","Nordeste_9",2009,,,"TS","PT","http://www.pgb.ufrpe.br/br/content/levantamento-flor%C3%ADstico-e-produtividade-de-macr%C3%B3fitas-aqu%C3%A1ticas-ocorrentes-em-ambientes","Nordeste_9","Nordeste_9"
"Nordeste","Nordeste_10",2010,,,"CL","PT",,"Nordeste_10","Nordeste_10"
"Nordeste","Nordeste_11",2010,,,"AC","IN","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2010000200004","Nordeste_11","Nordeste_11"
"Nordeste","Nordeste_12",2010,,,"CL","PT",,"Nordeste_12","Nordeste_12"
"Nordeste","Nordeste_13",2011,,,"CL","PT",,"Nordeste_13","Nordeste_13"
"Nordeste","Nordeste_14",2011,,,"AC","PT","http://www.scielo.br/pdf/rod/v62n4/2175-7860-rod-62-04-0731.pdf","Nordeste_14","Nordeste_14"
"Nordeste","Nordeste_15",2011,,,"AC","PT","http://www.scielo.br/scielo.php?pid=S2175-78602011000400771&script=sci_abstract&tlng=pt","Nordeste_15","Nordeste_15"
"Nordeste","Nordeste_16",2011,,,"TS","PT",,"Nordeste_16","Nordeste_16"
"Nordeste","Nordeste_17",2012,,,"CL","PT",,"Nordeste_17","Nordeste_17"
"Nordeste","Nordeste_18",2012,,,"AC","PT","http://www.crad.univasf.edu.br/arquivos/artigos/2.Araujo_229-232_27.pdf","Nordeste_18","Nordeste_18"
"Nordeste","Nordeste_19",2012,,,"AC","IN","http://www.scielo.br/pdf/rbb/v35n4/a04v35n4.pdf","Nordeste_19","Nordeste_19"
"Nordeste","Nordeste_20",2013,,,"AC","PT","http://rodriguesia-seer.jbrj.gov.br/index.php/rodriguesia/article/view/ID%20674","Nordeste_20","Nordeste_20"
"Nordeste","Nordeste_21",2013,,,"CL","PT",,"Nordeste_21","Nordeste_21"
"Nordeste","Nordeste_22",2014,,,"LV","PT",,"Nordeste_22","Nordeste_22"
"Nordeste","Nordeste_23",2014,,,"AC","IN",,"Nordeste_23","Nordeste_23"
"Nordeste","Nordeste_24",2014,,,"AC","PT","https://dialnet.unirioja.es/servlet/articulo?codigo=5521017","Nordeste_24","Nordeste_24"
"Nordeste","Nordeste_25",2015,,,"AC","IN","https://biotaxa.org/cl/article/view/11.6.1806","Nordeste_25","Nordeste_25"
"Nordeste","Nordeste_26",2015,,,"AC","PT","http://www.naturezaonline.com.br/natureza/conteudo/pdf/Sabinoetal_184-194.pdf","Nordeste_26","Nordeste_26"
"Nordeste","Nordeste_27",2016,,,"CL","PT",,"Nordeste_27","Nordeste_27"
"Nordeste","Nordeste_28",2016,,,"AC","IN","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842016000400888","Nordeste_28","Nordeste_28"
"Nordeste","Nordeste_29",2017,,,"AC","IN","http://article.sciencepublishinggroup.com/html/10.11648.j.jps.20160406.18.html","Nordeste_29","Nordeste_29"
"Norte","Norte_1",1981,,,"AC","PT","http://www.scielo.br/scielo.php?pid=S0044-59671981000300457&script=sci_arttext&tlng=pt","Norte_1","Norte_1"
"Norte","Norte_2",1993,,,"AC","IN","link.springer.com/article/10.1007%2FBF00006266","Norte_2","Norte_2"
"Norte","Norte_3",1993,,,"AC","IN","www.scielo.br/scielo.php?pid=S2179...script...","Norte_3","Norte_3"
"Norte","Norte_4",2005,1990,1990,"AC","PT","http://pubman.mpdl.mpg.de/pubman/faces/viewItemOverviewPage.jsp?itemId=escidoc:1507019","Norte_4","Norte_4"
"Norte","Norte_5",2003,2001,2001,"AC","PT","http://www.iepa.ap.gov.br/metadados/instituicoes/iepa/projetos/ressacas/documentos/1finalVEGETACAO.pdf","Norte_5","Norte_5"
"Norte","Norte_6",1984,,,"CL","IN","https://link.springer.com/chapter/10.1007/978-94-009-6542-3_10","Norte_6","Norte_6"
"Norte","Norte_7",1977,,,"AC","IN","não tem","Norte_7","Norte_7"
"Norte","Norte_8",2005,,,"AC","PT","http://www.uakari.org.br/index.php/UAKARI/article/view/9","Norte_8","Norte_8"
"Norte","Norte_9",2015,,,"CL","PT","https://www.researchgate.net/profile/Aline_Lopes2/publication/279512100_Conhecendo_as_macrofitas_aquaticas_da_Amazonia/links/56a6225308ae6c437c1adbd5/Conhecendo-as-macrofitas-aquaticas-da-Amazonia.pdf","Norte_9","Norte_9"
"Norte","Norte_10",2007,2004,2004,"AC","PT","www.ufrgs.br/seerbio/ojs/index.php/rbb/article/download/536/456","Norte_10","Norte_10"
"Norte","Norte_11",2008,2003,2003,"AC","PT","www.bdpa.cnptia.embrapa.br/busca?b=ad...t...","Norte_11","Norte_11"
"Norte","Norte_12",2009,,,"AC","PT","www.scielo.br/scielo.php?pid=S0044-59672009000400005&script...","Norte_12","Norte_12"
"Norte","Norte_13",2010,,,"AC","IN","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2010000200006","Norte_13","Norte_13"
"Norte","Norte_14",2011,2005,2005,"AC","PT","https://www.researchgate.net/profile/Sidinei_Thomaz/publication/262598333_Monitoring_the_Specific_Composition_of_Macrophyte_Communities_in_Luis_Eduardo_Magalhaes_Reservoir/links/53fda7580cf22f21c2f8203c/Monitoring-the-Specific-Composition-of-Macrophyte-Communities-in-Luis-Eduardo-Magalhaes-Reservoir.pdf","Norte_14","Norte_14"
"Norte","Norte_15",2010,2004,2008,"AC","PT","https://www.researchgate.net/profile/Irineu_Bianchini/publication/264002931_Monitoramento_das_Macrofitas_Aquaticas_do_Reservatorio_da_Usina_Hidreletrica_Luis_Eduardo_Magalhaes_Estado_de_Tocantins_Brasil/links/55f00d1c08ae199d47c040cf/Monitoramento-das-Macrofitas-Aquaticas-do-Reservatorio-da-Usina-Hidreletrica-Luis-Eduardo-Magalhaes-Estado-de-Tocantins-Brasil.pdf","Norte_15","Norte_15"
"Norte","Norte_16",2011,2008,2008,"AC","PT","http://www.facimed.edu.br/o/revista/pdfs/67592a681d60a780cd7f5d9a54af9b09.pdf","Norte_16","Norte_16"
"Norte","Norte_17",2011,1997,2007,"AC","PT","http://www.scielo.br/pdf/rod/v62n4/2175-7860-rod-62-04-0847.pdf","Norte_17","Norte_17"
"Norte","Norte_18",1998,,,"AC","IN","https://www.researchgate.net/profile/Maria_Teresa_Piedade/publication/27283714_Influence_of_flood-pulse_and_land-use_on_the_composition_of_herbaceous_species_on_a_floodplain_in_Central_Amazonia/links/557f44f508aec87640ddf83c.pdf","Norte_18","Norte_18"
"Norte","Norte_19",2012,,,"AC","PT","http://www.periodicos.ufam.edu.br/revista-geonorte/article/view/1815","Norte_19","Norte_19"
"Norte","Norte_20",2014,,,"AC","PT","http://repositorio.inpa.gov.br/bitstream/123/3413/1/Assembleias_de_peixes.pdf","Norte_20","Norte_20"
"Norte","Norte_21",2014,,,"AC","PT","https://revista.ufrr.br/rga/article/view/2979","Norte_21","Norte_21"
"Norte","Norte_22",2012,2010,2010,"AC","PT","http://revistas.iiap.org.pe/index.php/foliaamazonica/article/view/29","Norte_22","Norte_22"
"Norte","Norte_23",2015,,,"LV","PT","https://www.researchgate.net/publication/326752363_Ecologia_e_guia_de_identificacao_macrofitas_aquaticas_do_Lago_Amazonico","Norte_23","Norte_23"
"Norte","Norte_24",2018,,,"LV","PT","https://www.researchgate.net/publication/326752415_Conhecendo_as_areas_umidas_amazonicas_uma_viagem_pelas_varzeas_e_igapos?_sg=dGkfdvsWji-i9aJD0ua9YCZe5MoxL0rKhlYSxegRDBJTAI3eq1QpFHNvY6PhtwscU9p8GMOXeHDK7fhL1zWsqtAs2V4D6vrjEa0_IZSc.XVZJmEDwK2R97IZlpoWcx5AcsW--Fmt10giWMviB3H8hi5QwyuePv_qZVccdWdu5UHrviOVNcBvyv_sRXfDpvQ","Norte_24","Norte_24"
"Norte","Norte_25",2016,2010,2010,"AC","IN","www.ncbi.nlm.nih.gov/pmc/articles/PMC4743013/","Norte_25","Norte_25"
"Norte","Norte_26",2016,,,"AC","PT","http://www.pubvet.com.br/artigo/3537/","Norte_26","Norte_26"
"Norte","Norte_27",2017,,,"TS","PT","http://repositorio.uft.edu.br/handle/11612/413","Norte_27","Norte_27"
"Norte","Norte_28",2012,2011,2011,"TS","PT","https://ppbio.inpa.gov.br/sites/default/files/2012%20Paiva_Flora%20macrofitas%20aquáticas-grade%20PPBio.pdf","Norte_28","Norte_28"
"Norte","Norte_29",2015,2014,2014,"TS","PT","http://bdtd.inpa.gov.br/bitstream/tede/2150/5/Diogo%20Alexandre%20de%20Souza.%202015.%20DISSERTAÇÃO%20FINAL.pdf","Norte_29","Norte_29"
"Norte","Norte_30",2017,2012,2013,"TS","PT","http://bdtd.inpa.gov.br/bitstream/tede/2531/5/Luciana%20Carvalho%20Crema.pdf","Norte_30","Norte_30"
"Norte","Norte_31",2015,2012,2013,"TS","PT","http://bionorte.propesp.ufpa.br/ARQUIVOS/teses/TESE_FINAL_FINAL.%20Maria%20das%20Neves.Quarta-feira.pdf","Norte_31","Norte_31"
"Norte","Norte_32",2014,,,"TS","PT","http://bdtd.inpa.gov.br/handle/tede/1964","Norte_32","Norte_32"
"Norte","Norte_33",1989,1983,1985,"AC","PT","http://repositorio.museu-goeldi.br/handle/mgoeldi/844","Norte_33","Norte_33"
"Norte","Norte_34",2016,2010,2012,"AC","IN","https://link.springer.com/article/10.1007/s10750-015-2431-x","Norte_34","Norte_34"
"Norte","Norte_35",2014,2013,2013,"AC","PT","http://www.ri.unir.br/jspui/handle/123456789/954","Norte_35","Norte_35"
"Norte","Norte_36",2010,1994,2008,"TS","PT","http://bdtd.inpa.gov.br/handle/tede/1431","Norte_36","Norte_36"
"Norte","Norte_37",2014,2014,2014,"TS","PT","http://bdtd.ibict.br/vufind/Record/UFRR_14764699e990e79fa80ed4724b34c8ac","Norte_37","Norte_37"
